FileName,gh,rep,RPid,entry,genotype,DaysToAnthesis,Anthesis,FruitSetRipening,DaysToMaturity,DaysToHarvest,ht_1,ht1Age_days,ht_2,ht2Age_days,ht_harvest,Infl_L,Infl_W,Infl_Area,inflorescenceColor,inflorescenceShape,inflorescenceDensity,inflorescenceLeafiness,Moisture,Ash.14,Crude.Fat.14,Crude.Protein.14,Total.AA.14.mgG,Histidine.14.mgG,Isoleucine.14.mgG,Leucine.14.mgG,Lysine.14.mgG,SAA.14.mgG,AAA.14.mgG,Threonine.14.mgG,Tryptophan.14.mgG,Valine.14.mgG,Protein.14_Yield,Yield_g,TSW,totalSeeds,AvgArea_mm2,AvgEccentricity,TotalCount,sumRGB
1834B 1052,34B,1,34B_1,52,D-12167,48,14,49,111,126,43,35,61,41,165,53,11,583,13,1,1,3,6.906527789,2.984905962,4.637467778,15.17777761,845.1957457,28.62943513,39.73194179,58.51765952,53.31860562,32.82614277,64.09880924,30.89769965,10.0185726,42.40843697,0.494643772,3.259,1.815853659,1794.748153,1.976204632,0.363194947,820,367.1366371
1834B 1053,34B,1,34B_1,53,CHEN-389,52,12,37,101,127,45,35,63,41,173,51,15,765,13,3,1,3,7.526267544,2.92731357,4.0788703,16.09448949,793.8897708,26.97691238,38.18972392,59.36885884,55.82917014,35.96035776,62.51295838,30.49733559,NA,45.40125443,1.089757883,6.771,3.227876106,2097.664154,2.978446044,0.356972034,452,380.1679045
1834B 1054,34B,1,34B_1,54,D-12208,46,16,22,84,97,50,35,70,41,142,36,7,252,13,5,3,3,7.98405899,2.728139806,2.655464786,13.1166155,830.3449565,27.94245431,38.93804061,60.39530527,55.21887102,34.28160023,62.90943517,30.86905301,8.640402362,45.88711703,0.903078977,6.885,2.880503145,2390.207424,2.37779331,0.379441771,159,193.7650412
1834B 1055,34B,1,34B_1,55,PUC-mix-green,46,14,12,72,86,40,35,58,41,114,18,5,90,5,3,5,3,7.046436069,2.684299999,3.931509727,11.81911058,837.9468615,26.42193468,39.26000199,58.06488981,58.33658187,36.58020782,63.20487721,33.07520076,9.963340628,43.91593339,0.816936923,6.912,3.22489083,2143.328368,2.90361129,0.354909847,458,355.538713
1834B 1056,34B,1,34B_1,56,D-12037,39,17,36,92,106,44,35,62,41,138,55,9,495,13,3,3,5,7.648801104,2.91698916,3.479350333,14.9786707,834.7764444,28.05853422,38.58706751,58.59168544,54.21568199,35.79903539,63.68530335,30.40788768,9.913175538,42.82552904,0.523804114,3.497,2.784883721,1255.707724,2.585088152,0.333023194,516,427.4492019
1834B 1057,34B,1,34B_1,57,CHEN-126,50,12,22,84,97,46,35,62,41,175,56,6,336,13,1,3,3,7.880834331,2.439360664,4.329983081,15.26335666,803.9522015,26.88506849,38.55282251,62.91847787,50.89189864,37.74909989,65.25022145,30.72050601,9.441649293,45.28597488,1.023408064,6.705,2.528938907,2651.309599,2.465820277,0.307689372,622,439.4878673
1834B 1058,34B,1,34B_1,58,D-12087,60,20,31,111,126,43,35,55,41,123,13,5,65,13,5,7,1,7.224090777,2.972565999,2.235151924,12.82671509,876.2039941,28.41929927,38.34828593,55.80950394,57.31747556,37.77701803,65.61368774,30.32687313,10.61679195,42.35012599,0.215232279,1.678,3.023012552,555.0754325,2.901185129,0.369341964,478,393.8945851
1834B 1059,34B,1,34B_1,59,Ames-13730,57,15,20,92,106,50,35,69,41,168,21,5,105,13,3,7,3,7.79024359,3.001877043,4.65706334,16.00375875,802.5229675,27.31582694,39.02788894,57.54572047,55.41570606,35.34839601,63.43640019,30.03635058,9.657742261,43.4129179,1.131945856,7.073,3.908554572,1809.620377,3.5012525,0.410366525,339,355.1359867
1834B 1060,34B,1,34B_1,60,Ames-13743,36,10,20,66,80,47,35,71,41,87,20,5,100,4,3,5,3,7.209356448,2.669622101,3.298171201,13.51964487,826.5212458,26.92453708,37.71683942,59.01054271,56.38175034,37.76586456,62.44326317,32.09375025,9.838162318,44.05126751,1.115100309,8.248,3.061702128,2693.926338,3.07260691,0.369505356,470,378.1209771
1834B 1061,34B,1,34B_1,61,BO-58,48,10,12,70,83,45,35,57,41,91,13,24,312,1,3,1,5,7.210134334,2.493731602,3.790825257,12.67326135,843.1562958,27.36629783,40.38476019,62.57630643,56.9702171,38.90907776,65.6567253,32.96200346,10.56947768,47.45800382,0.889916412,7.022,2.850860421,2463.11603,2.761208901,0.396980816,523,334.5174282
