"","Yield_g","TSW","Lysine.14.mgG"
"376",6.711,2.368495077,52.52693763
"377",5.913,3.426804124,54.93058673
"378",8.807,3.318007663,59.7893749
"379",8.697,2.515650741,57.83930555
"380",3.421,1.527777778,51.24033955
"381",8.17,3.443983402,56.27460539
"382",4.899,1.927380952,52.79141343
"383",4.581,2.282089552,52.53884418
"384",5.506,3.058467742,59.91865598
"385",5.474,2.080976864,54.08442021
"386",8.228,3.229674797,56.58525471
"387",8.439,1.869287991,52.13412447
"388",6.161,1.945157526,54.95451647
"389",6.959,1.889142857,53.87113174
"390",7.345,2.807760141,54.03471699
"391",9.203,2.855652174,53.95870811
"392",7.452,2.752542373,60.76950588
"393",0.22,1.521428571,55.84696269
"394",4.619,3.433925049,52.59355333
"395",8.059,3.004761905,56.64050279
"396",11.394,2.766848816,51.55793856
"397",5.995,4.06443299,53.56733139
"398",8.765,2.798711755,51.32987904
"399",6.731,2.401587302,54.66486508
"400",7.277,3.19214876,58.39976783
"401",8.483,3.155844156,61.12677418
"402",9.151,3.288235294,60.6343125
"403",7.88,4.043367347,59.91968164
"404",7.245,3.316504854,54.88633119
"405",6.737,3.392335766,59.52566445
"406",8.878,3.296428571,57.43259028
"407",7.296,2.940038685,53.51908946
"408",9.293,3.539614561,59.75379652
"409",9.314,4.480874317,57.05980113
"410",4.771,2.615835777,48.58988361
"411",6.315,3.31588785,53.38474263
"412",5.073,1.690500511,53.1103287
"413",6.922,3.323809524,54.67431395
"414",7.427,3.269461078,54.34153844
"415",8.838,3.09947644,56.97751641
"416",2.406,2.701257862,53.86890338
"417",5.603,2.125884017,50.44193566
"418",3.867,2.507352941,55.93969362
"419",7.423,3.374727669,56.64027045
"420",6.665,3.1875,59.05833133
"421",7.444,2.541139241,59.51744272
"422",6.595,2.090375587,60.06318399
"423",11.985,3.906633907,59.84713929
"424",8.515,1.968314322,53.87725278
"425",7.635,3.149819495,51.7537395
"426",6.796,2.985185185,61.27236308
"427",10.921,2.754560531,59.21690484
"428",6.518,2.536982249,54.67475228
"429",3.594,2.225165563,51.48366139
"430",9.575,2.351390922,50.97289559
"431",4.312,1.917575758,50.72784673
"432",4.252,1.943373494,54.31947994
"433",9.186,2.701149425,56.06433855
"434",3.181,2.433380084,56.41284294
"435",5.762,2.541364296,51.12611594
"436",7.51,2.040137615,55.12129151
"437",4.05,1.919254658,51.38077243
"438",7.299,2.194070081,52.33545832
"439",4.019,3.400379507,54.48563389
"440",3.675,1.949090909,54.24287479
"441",6.76,3.466666667,57.95064131
"442",6.124,3.320879121,54.37759787
"443",8.598,3.404395604,54.20252156
"444",4.723,2.260572988,52.93273735
"445",4.333,1.961340206,52.615845
"446",8.508,2.967307692,62.57665278
"447",10.196,3.267515924,53.74271423
"448",1.318,2.769722814,57.27406273
"449",7.434,2.018796992,56.80403507
"450",8.148,2.42703533,57.95521317
"451",5.896,2.619127517,53.56008315
"452",6.399,3.003984064,58.64570753
"453",4.893,3.291754757,53.51908946
"454",5.958,2.785388128,56.65269553
"455",5.972,1.786666667,52.61555156
"456",12.388,3.653017241,55.74224359
"457",9.59,1.893660532,48.58988361
"458",7.539,2.54294032,55.9911448
"459",8.091,2.490384615,55.39953691
"460",7.088,1.959899749,53.12383527
"461",7.061,2.45984252,54.65040623
"462",5.333,3.158415842,53.98237758
"463",8.492,3.271084337,57.73694663
"464",5.569,3.738609113,51.42709973
"465",7.186,3.031894934,54.65516442
"466",1.562,2.103773585,52.33668028
"467",8.24,1.813715455,54.28696357
"468",9.332,3.332,57.78159202
"469",8.712,2.973434535,53.45674287
"470",7.85,2.328496042,50.46196827
"471",6.265,1.653266332,53.57816161
"472",5.561,2.050387597,51.92546841
"473",7.682,3.653846154,60.12351627
"474",7.945,3.046325879,54.88487163
"475",2.858,2.446917808,54.75436597
"476",4.131,2.949606299,51.4284583
